%source_id, target_id
2,40
29,41
10,41
8,42
37,42
22,43
2,44
29,45
10,45
8,46
37,46
8,47
37,47
20,48
39,48
29,49
10,49
2,50
20,51
39,51
11,52
15,52
20,53
39,53
8,54
37,54
8,55
37,55
29,56
10,56
11,57
15,57
11,58
15,58
11,59
15,59
11,60
15,60
40,61
43,61
44,62
49,62
42,63
45,63
46,64
51,64
41,65
47,65
41,66
47,66
48,67
56,67
50,68
57,68
48,69
56,69
50,70
57,70
44,71
49,71
48,72
56,72
44,73
49,73
50,74
57,74
48,75
56,75
50,76
57,76
50,77
57,77
48,78
56,78
48,79
56,79
50,80
57,80
53,81
60,81
52,82
61,82
53,83
60,83
53,84
60,84
52,85
61,85
52,86
61,86
54,87
63,87
53,88
60,88
55,89
65,89
53,90
60,90
53,91
60,91
62,92
72,92
55,93
65,93
